ID,title,date,deleted,price,restore-link,delete
31921571,Alquiler,Publicado el 28/01/2026,Edison Park,B/. 700,https://www.encuentra24.com/account/admodify/reactivate/id/31921571/back/delete,True
31920162,"Alquiler Costa del Este | PH Mirador del Este Vista al Mar – $2,700",Publicado el 27/01/2026,Costa del Este,"B/. 2,700",https://www.encuentra24.com/account/admodify/reactivate/id/31920162/back/delete,True
31921153,"Alquiler $5,000 | Casa de Lujo Altos del Golf | ¡$800 Consumo Eléctrico Incluido!",Publicado el 27/01/2026,Costa del Este,"B/. 5,000",https://www.encuentra24.com/account/admodify/reactivate/id/31921153/back/delete,True
31921196,"LA MEJOR VISTA DE COSTA DEL ESTE | 300M² EN PH ALTAMAR | PISO ALTO $3,600",Publicado el 27/01/2026,Costa del Este,"B/. 3,600",https://www.encuentra24.com/account/admodify/reactivate/id/31921196/back/delete,True
31921166,"Alquiler $3,500 Neg. | PH The Towers San Francisco | 270 m² de Lujo | 3 Suites + Den",Publicado el 27/01/2026,San Francisco,"B/. 3,500",https://www.encuentra24.com/account/admodify/reactivate/id/31921166/back/delete,True
31921072,"Alquiler Costa del Este | PH Parkside Vista al Mar – $2,300",Publicado el 27/01/2026,Costa del Este,"B/. 2,300",https://www.encuentra24.com/account/admodify/reactivate/id/31921072/back/delete,True
31921038,"Alquiler Premium en Costa del Este | PH Ten Tower – $5,300",Publicado el 27/01/2026,Costa del Este,"B/. 5,300",https://www.encuentra24.com/account/admodify/reactivate/id/31921038/back/delete,True
31921028,"Alquiler Punta Pacífica | PH Pacific Bay, 224 m² – $2,400",Publicado el 27/01/2026,Punta Pacífica,"B/. 2,400",https://www.encuentra24.com/account/admodify/reactivate/id/31921028/back/delete,True
31921020,"Alquiler $2,800 | PH Pacific Village Pta Pacífica | 270 m² de Lujo | 3 Rec. + CBE",Publicado el 27/01/2026,Punta Pacífica,"B/. 2,800",https://www.encuentra24.com/account/admodify/reactivate/id/31921020/back/delete,True
31917170,"Alquiler Costa del Este | PH Costa View 3R + C/B/E – $1,600",Publicado el 27/01/2026,Costa del Este,"B/. 1,600",https://www.encuentra24.com/account/admodify/reactivate/id/31917170/back/delete,True
31920085,Alquiler,Publicado el 27/01/2026,Costa del Este,"B/. 2,100",https://www.encuentra24.com/account/admodify/reactivate/id/31920085/back/delete,True
